word,frequency
mukhundoko,23
kitr,6554
raakhinch,643
aghillo,630
bhaagamaa,14051
kaathmaa,130
dori,189
baater,23
linga,1219
bnaainch,302
kaadlaai,53
ashlil,84
shbdhru,936
bolne,2143
prvkaa,265
liinch,2137
prvmaa,1375
mhilaahrule,568
mehndikaa,23
gathaanmugaahmaa,46
chuvaaer,23
flaam,1115
pittl,23
taamaako,420
lgaaaunchn,732
suryaast,23
bhepchi,6707
maanis,4829
ptk,9778
aagao,1237
raakhn,2531
lgaaainch,755
rfkndaa,23
baatobhri,23
om,282
jy,619
ysaghi,550
maanislaai,963
naanggaai,98
paarer,1808
shrir,2095
anuhaarmaa,61
rngai,53
birngaikaa,23
bnaaer,4252
khaali,625
dhi,562
ktauraa,23
aajaajyu,23
bhnn,6437
gaaa,1641
maanishrule,2090
ai,3944
svrmaa,74
haa,354
ghrghrmaa,324
thdyaaai,23
thaaunmaa,12001
raakher,2106
unlaai,18785
khvaainch,23
bisrjn,53
nthdyaaieko,23
tolvaasihru,23
maataale,23
bneko,12879
siththi,23
raangaaako,49
tukraahru,23
andaa,35
kikdhaalaa,23
bauahsvaanle,23
pnchaainch,23
tysaghi,310
bauah,46
laai,13411
sdsyhru,788
bhtmaas,23
rksi,1782
jaand,376
prsaadkaa,133
mulile,23
pnchaaer,26
frkiepchi,59
muldhokaako,23
thelomaa,23
khutte,23
thokinch,23
saun,1
njikko,384
jlaainch,46
ropaain,7
pchiko,3239
ropaain,389
virendrngar,1150
ngarpaalikaa,11284
sn,53799
2001ko,10437
jngannaa,14260
anusaar,48113
jnsnkhyaa,20499
mdhy,27418
purus,14438
mhilaa,15847
surkhet,2199
uptykaako,7866
jillaamaa,427
prdch,25769
shr,8409
mdhypskimaanykl,157
bikaas,2317
ksetrko,14852
sdrmukaam,12818
jillko,207
pni,3431
naamaakrn,7390
svrgaiy,745
birendrko,10
naamsnga,42
snbndhit,74
birendrbaat,10
uptykaamaa,6820
mleriyaako,74
unmuln,420
pchi,4445
birendrngar,135
shrko,1573
priklpnaa,636
haal,19460
pskim,525
vaanijy,2128
kendr,9903
shvaasthko,219
ngarpaalikaamaa,130
jhndai,1853
pkaashjaar,40
haarhaari,42
maanis,354
bsobaas,12370
gardchn,4142
naalmaa,23906
failieko,6190
garihyuddle,59
birendrngarlaai,10
aaaprvaasi,35
hruko,2031
bneko,60
cheuchaaukaa,250
paahaadi,1041
jillaabaat,1019
maavovaadi,59
yudhdpidithru,74
srer,1073
yaanhaa,153
bsaa,2653
birendrngarmaa,71
mdhypskimaankl,59
ksetriy,3723
asptaal,4993
jill,115
netr,100
upkaarkendr,74
srkaari,7732
niyntrnmaa,1763
snkaalit,81
chn,22109
praaibhet,417
shvaasth,500
snsthaa,3390
yaahaan,145
rhaa,32051
thuprai,8273
maadhyaamik,106
